Wavelength,X,yield
0.184,8.50E-19,1
0.186,9.50E-19,1
0.188,1.06E-18,1
0.19,1.24E-18,1
0.192,1.43E-18,1
0.194,1.62E-18,1
0.196,1.79E-18,1
0.198,1.96E-18,1
0.2,2.10E-18,1
0.202,2.19E-18,1
0.204,2.23E-18,1
0.205,2.24E-18,1
0.206,2.23E-18,1
0.208,2.20E-18,1
0.21,2.13E-18,1
0.212,2.04E-18,1
0.214,1.93E-18,1
0.216,1.79E-18,1
0.218,1.64E-18,1
0.22,1.50E-18,1
0.222,1.35E-18,1
0.224,1.21E-18,1
0.226,1.08E-18,1
0.228,9.45E-19,1
0.23,8.45E-19,1
0.232,7.40E-19,1
0.234,6.60E-19,1
0.236,5.80E-19,1
0.238,5.00E-19,1
0.24,4.30E-19,1
0.242,3.70E-19,1
0.244,3.20E-19,1
0.246,2.75E-19,1
0.248,2.35E-19,1
0.25,2.00E-19,1
0.252,1.70E-19,1
0.254,1.45E-19,1
0.256,1.23E-19,1
0.258,1.03E-19,1
0.26,8.60E-20,1
0.262,7.30E-20,1
0.264,6.20E-20,1
0.266,5.30E-20,1
0.268,4.30E-20,1
0.27,3.70E-20,1
0.272,3.00E-20,1
0.274,2.50E-20,1
0.296,3.26E-21,1
0.297,5.65E-21,1
0.298,5.17E-21,1
0.299,4.29E-21,1
0.3,6.17E-21,1
0.301,6.90E-21,1
0.302,5.79E-21,1
0.303,9.25E-21,1
0.304,1.04E-20,1
0.305,1.57E-20,1
0.306,1.29E-20,1
0.307,9.16E-21,1
0.308,1.45E-20,1
0.309,2.01E-20,1
0.31,1.51E-20,1
0.311,2.07E-20,1
0.312,2.42E-20,1
0.313,2.25E-20,1
0.314,3.35E-20,1
0.315,2.54E-20,1
0.316,1.61E-20,1
0.317,3.21E-20,1
0.318,4.49E-20,1
0.319,3.19E-20,1
0.32,4.66E-20,1
0.321,5.96E-20,1
0.322,4.05E-20,1
0.323,4.56E-20,1
0.324,5.89E-20,1
0.325,4.05E-20,1
0.326,2.65E-20,1
0.3265,3.55E-20,1
0.327,6.44E-20,1
0.3275,1.03E-19,1
0.328,9.22E-20,1
0.3285,6.38E-20,1
0.329,5.20E-20,1
0.3295,6.12E-20,1
0.33,9.92E-20,1
0.3305,1.51E-19,1
0.331,1.43E-19,1
0.3315,9.88E-20,1
0.332,6.94E-20,1
0.3325,6.00E-20,1
0.333,6.31E-20,1
0.3335,7.11E-20,1
0.334,8.35E-20,1
0.3345,8.37E-20,1
0.335,7.71E-20,1
0.3355,6.55E-20,1
0.336,5.33E-20,1
0.3365,4.36E-20,1
0.337,4.23E-20,1
0.3375,5.13E-20,1
0.338,9.38E-20,1
0.3385,1.65E-19,1
0.339,1.43E-19,1
0.3395,9.96E-20,1
0.34,7.79E-20,1
0.3405,8.51E-20,1
0.341,1.61E-19,1
0.3415,3.15E-19,1
0.342,2.94E-19,1
0.3425,1.85E-19,1
0.343,1.14E-19,1
0.3435,8.29E-20,1
0.344,7.59E-20,1
0.3445,8.18E-20,1
0.345,8.77E-20,1
0.3455,9.10E-20,1
0.346,9.64E-20,1
0.3465,8.87E-20,1
0.347,7.80E-20,1
0.3475,7.06E-20,1
0.348,6.63E-20,1
0.3485,6.26E-20,1
0.349,6.00E-20,1
0.3495,6.47E-20,1
0.35,9.06E-20,1
0.3505,1.50E-19,1
0.351,1.69E-19,1
0.3515,1.41E-19,1
0.352,1.24E-19,1
0.3525,1.28E-19,1
0.353,1.63E-19,1
0.3535,2.85E-19,1
0.354,4.87E-19,1
0.3545,4.43E-19,1
0.355,2.76E-19,1
0.3555,1.64E-19,1
0.356,1.11E-19,1
0.3565,9.35E-20,1
0.357,9.45E-20,1
0.3575,1.01E-19,1
0.358,9.84E-20,1
0.3585,9.02E-20,1
0.359,8.37E-20,1
0.3595,7.67E-20,1
0.36,6.87E-20,1
0.3605,6.32E-20,1
0.361,6.05E-20,1
0.3615,5.95E-20,1
0.362,5.98E-20,1
0.3625,6.35E-20,1
0.363,7.39E-20,1
0.3635,9.22E-20,1
0.364,1.15E-19,1
0.3645,1.27E-19,1
0.365,1.28E-19,1
0.3655,1.32E-19,1
0.366,1.48E-19,1
0.3665,1.84E-19,1
0.367,2.51E-19,1
0.3675,3.52E-19,1
0.368,4.36E-19,1
0.3685,4.14E-19,1
0.369,3.15E-19,1
0.3695,2.17E-19,1
0.37,1.51E-19,1
0.371,9.49E-20,1
0.372,7.96E-20,1
0.373,6.30E-20,1
0.374,4.59E-20,1
0.375,3.55E-20,1
0.376,3.36E-20,1
0.377,3.66E-20,1
0.378,4.33E-20,1
0.379,5.66E-20,1
0.38,7.21E-20,1
0.381,9.13E-20,1
0.382,1.24E-19,1
0.383,1.70E-19,1
0.384,1.95E-19,1
0.385,1.61E-19,1
0.386,1.05E-19,1
0.387,6.59E-20,1
0.388,4.30E-20,1
0.389,2.81E-20,1
0.39,1.71E-20,1
0.391,9.92E-21,1
0.392,7.31E-21,1
0.393,5.97E-21,1
0.394,5.28E-21,1
0.395,4.03E-21,1
0.396,2.37E-21,1
